,lastTradeDate,strike,lastPrice,expirationDate,impliedVolatility,openInterest,CALL,underlying_price
0,2023-01-12 20:41:36+00:00,1.67,121.5,2023-01-21,13.75000140625,606.0,True,123.55999755859375
1,2023-01-12 20:41:48+00:00,3.33,119.9,2023-01-21,11.6875026953125,431.0,True,123.55999755859375
2,2023-01-12 20:37:07+00:00,5.0,118.1,2023-01-21,0.500005,811.0,True,123.55999755859375
3,2023-01-12 20:44:21+00:00,6.67,116.5,2023-01-21,8.875004453125,559.0,True,123.55999755859375
4,2023-01-12 20:41:48+00:00,8.33,114.9,2023-01-21,8.500004687499999,597.0,True,123.55999755859375
5,2023-01-12 18:59:02+00:00,10.0,112.26,2023-01-21,0.500005,2007.0,True,123.55999755859375
6,2023-01-12 18:59:02+00:00,11.67,110.61,2023-01-21,7.125001093750001,420.0,True,123.55999755859375
7,2023-01-12 19:10:24+00:00,13.33,109.75,2023-01-21,6.937501328125,379.0,True,123.55999755859375
8,2023-01-03 20:43:31+00:00,15.0,92.9,2023-01-21,0.500005,82.0,True,108.0999984741211
9,2023-01-13 15:49:35+00:00,16.67,104.7,2023-01-21,6.500001875000001,978.0,True,122.4000015258789
10,2023-01-12 20:14:22+00:00,18.33,104.5,2023-01-21,5.937502578125001,2119.0,True,123.55999755859375
11,2023-01-13 14:43:18+00:00,20.0,96.1,2023-01-21,0.500005,975.0,True,122.4000015258789
12,2022-08-04 19:35:15+00:00,25.0,899.6,2023-01-21,1.0000000000000003e-05,148.0,True,308.6333312988281
13,2023-01-10 16:56:49+00:00,26.67,90.4,2023-01-21,4.968753789062499,2070.0,True,118.8499984741211
14,2023-01-05 17:27:53+00:00,30.0,80.05,2023-01-21,4.6562541796875,34.0,True,110.33999633789062
15,2023-01-12 20:58:04+00:00,33.33,90.24,2023-01-21,4.0937548828125,3715.0,True,123.55999755859375
16,2023-01-10 20:04:26+00:00,35.0,82.27,2023-01-21,0.500005,70.0,True,118.8499984741211
17,2023-01-10 16:53:19+00:00,40.0,76.79,2023-01-21,3.7343756640625,1608.0,True,118.8499984741211
18,2023-01-10 19:25:46+00:00,45.0,72.7,2023-01-21,3.3593766015624995,57.0,True,118.8499984741211
19,2023-01-10 15:41:25+00:00,46.67,69.6,2023-01-21,2.93750265625,1394.0,True,118.8499984741211
